0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
91.967,174.051,34.784,150.834,136.917,108.483,115.717,141.384,85.267,100.1,90.55,69.166,56.466,52.183,1407.869
,,,,,,,,,,,,,,
"[0, 28, 53, 15, 49, 45, 0]","[0, 6, 27, 61, 40, 62, 33, 47, 0]","[0, 17, 0]","[0, 20, 5, 13, 12, 0]","[0, 42, 34, 44, 50, 0]","[0, 55, 0]","[0, 30, 59, 18, 3, 22, 0]","[0, 8, 21, 63, 0]","[0, 57, 19, 31, 26, 67, 66, 0]","[0, 54, 14, 64, 32, 0]","[0, 52, 58, 4, 29, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
86,176.933,34.784,125.516,104.383,108.483,111.2,148.567,70.434,94.434,87.25,69.166,54.083,52.183,1323.416
,,,,,,,,,,,,,,
"[0, 49, 15, 53, 45, 28, 0]","[0, 61, 47, 27, 40, 62, 33, 6, 0]","[0, 17, 0]","[0, 13, 20, 12, 5, 0]","[0, 34, 50, 42, 44, 0]","[0, 55, 0]","[0, 30, 3, 22, 59, 18, 0]","[0, 21, 63, 8, 0]","[0, 67, 57, 26, 31, 66, 19, 0]","[0, 32, 14, 64, 54, 0]","[0, 52, 58, 29, 4, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
86.133,193.901,34.784,123.784,105.283,108.483,111.816,149.85,82.3,100.1,81.566,69.166,53.233,52.833,1353.232
,,,,,,,,,,,,,,
"[0, 28, 53, 45, 15, 49, 0]","[0, 61, 33, 6, 27, 40, 62, 47, 0]","[0, 17, 0]","[0, 13, 12, 20, 5, 0]","[0, 42, 44, 34, 50, 0]","[0, 55, 0]","[0, 18, 59, 22, 3, 30, 0]","[0, 8, 63, 21, 0]","[0, 31, 67, 26, 66, 19, 57, 0]","[0, 54, 14, 64, 32, 0]","[0, 52, 29, 58, 4, 0]","[0, 51, 39, 0]","[0, 37, 16, 9, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
91.466,177.668,34.784,154.5,131.016,108.483,87.033,150.666,91.6,92.633,79.083,68.35,54.083,52.833,1374.198
,,,,,,,,,,,,,,
"[0, 45, 49, 15, 53, 28, 0]","[0, 6, 40, 62, 47, 27, 61, 33, 0]","[0, 17, 0]","[0, 12, 13, 5, 20, 0]","[0, 44, 34, 50, 42, 0]","[0, 55, 0]","[0, 18, 22, 3, 59, 30, 0]","[0, 21, 8, 63, 0]","[0, 67, 31, 26, 19, 57, 66, 0]","[0, 64, 14, 54, 32, 0]","[0, 29, 58, 4, 52, 0]","[0, 39, 51, 0]","[0, 9, 16, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
72.767,152.101,34.784,153.95,101.917,108.483,105.616,150.117,85.599,94.117,86.318,69.166,54.883,52.183,1322.001
,,,,,,,,,,,,,,
"[0, 15, 53, 49, 28, 45, 0]","[0, 47, 62, 27, 61, 6, 40, 33, 0]","[0, 17, 0]","[0, 20, 12, 5, 13, 0]","[0, 50, 34, 44, 42, 0]","[0, 55, 0]","[0, 59, 30, 22, 18, 3, 0]","[0, 63, 8, 21, 0]","[0, 57, 66, 31, 26, 19, 67, 0]","[0, 14, 32, 64, 54, 0]","[0, 58, 52, 4, 29, 0]","[0, 51, 39, 0]","[0, 37, 9, 16, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
85.849,141.232,34.784,122.75,106.617,108.483,84.149,150.117,62.2,99.651,85.584,68.35,54.083,52.833,1256.682
,,,,,,,,,,,,,,
"[0, 28, 53, 15, 45, 49, 0]","[0, 40, 47, 62, 33, 27, 61, 6, 0]","[0, 17, 0]","[0, 5, 12, 20, 13, 0]","[0, 44, 42, 34, 50, 0]","[0, 55, 0]","[0, 18, 22, 30, 59, 3, 0]","[0, 63, 8, 21, 0]","[0, 67, 66, 19, 31, 57, 26, 0]","[0, 32, 54, 64, 14, 0]","[0, 4, 29, 58, 52, 0]","[0, 39, 51, 0]","[0, 9, 16, 37, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
