,Arbitrarily Selected Route,,Semi-Optimal Route,,
Cluster,Time (minutes),Route Taken (by Order ID),Better time (minutes),Route Taken (by Order ID),Time Saved
0,86.034,"[0, 53, 15, 49, 45, 28, 0]",66.849,"[0, 15, 45, 28, 53, 49, 0]",19.185
1,158.6,"[0, 6, 47, 61, 62, 27, 40, 33, 0]",127.05,"[0, 47, 61, 40, 6, 62, 27, 33, 0]",31.55
2,34.784,"[0, 17, 0]",34.784,"[0, 17, 0]",0
3,152.3,"[0, 13, 12, 5, 20, 0]",121.75,"[0, 5, 13, 12, 20, 0]",30.55
4,104.383,"[0, 34, 50, 42, 44, 0]",101.917,"[0, 50, 34, 44, 42, 0]",2.466
5,108.483,"[0, 55, 0]",108.483,"[0, 55, 0]",0
6,95.967,"[0, 30, 22, 59, 3, 18, 0]",83.949,"[0, 59, 3, 30, 22, 18, 0]",12.018
7,148.567,"[0, 21, 63, 8, 0]",138.516,"[0, 63, 21, 8, 0]",10.051
8,62.7,"[0, 67, 19, 66, 57, 26, 31, 0]",62.2,"[0, 67, 66, 19, 31, 57, 26, 0]",0.5
9,87.717,"[0, 54, 32, 14, 64, 0]",85.867,"[0, 64, 54, 32, 14, 0]",1.85
10,84.233,"[0, 4, 29, 52, 58, 0]",74.932,"[0, 4, 52, 29, 58, 0]",9.301
11,68.35,"[0, 39, 51, 0]",68.35,"[0, 39, 51, 0]",0
12,56.466,"[0, 16, 9, 37, 0]",53.233,"[0, 37, 16, 9, 0]",3.233
13,52.183,"[0, 35, 69, 0]",52.183,"[0, 35, 69, 0]",0
Total,1300.767,,1180.063,,120.704
,(21.67945 hours),,(19.6677166666667 hours),,(2.01173333333333 hours)
