Cluster,Distance (in miles),Route taken (by Order ID),,
0,25.81617309,"[0, 44, 1, 21, 37, 0]",,
1,60.23525172,"[0, 24, 19, 25, 9, 47, 46, 0]",,
2,88.29706588,"[0, 41, 5, 0]",,
3,24.81141337,"[0, 29, 38, 22, 12, 0]",,
4,38.57046988,"[0, 2, 20, 11, 18, 6, 10, 33, 43, 23, 42, 0]",,
5,65.74123554,"[0, 16, 45, 4, 30, 34, 0]",,
6,62.56974909,"[0, 15, 48, 32, 8, 40, 31, 0]",,
7,69.73728361,"[0, 28, 50, 3, 49, 35, 36, 39, 14, 26, 0]",,
8,64.72280562,"[0, 7, 0]",,
9,29.17034312,"[0, 27, 0]",,
10,7.749139399,"[0, 13, 17, 0]",,
11,6.710204183,"[0, 51, 0]",,
Total,544.1311345,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
